text,clean_text,label,label_name
"lost card found, want to put it back in app",lost card found want to put it back in app,5,13
"I just got a card, how can I add it to the app?",i just got a card how can i add it to the app,5,13
Is there any way to see my card in the app?,is there any way to see my card in the app,5,13
If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,if i find a card i lost do i need to dispose of it or can i re active the card and continue to use it,5,13
I found my card. How can I put it into my app?,i found my card how can i put it into my app,5,13
How do I make my card show up in the app?,how do i make my card show up in the app,5,13
Can you show me where to link the new card?,can you show me where to link the new card,5,13
I found my old card. Can I link it back into the app?,i found my old card can i link it back into the app,5,13
"Show me how to link the new card,",show me how to link the new card,5,13
How do I add an existing card to the app?,how do i add an existing card to the app,5,13
I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?,i finally got my card now i want to link it is that something you have to do or can i do that,5,13
How do I link one of your card that I already have?,how do i link one of your card that i already have,5,13
If I have a physical card can I link it?,if i have a physical card can i link it,5,13
I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.,i found my lost card in my jacket pocket this morning so i'd like to reactivate it please,5,13
Can I add a card that I just found (again) to the app?,can i add a card that i just found again to the app,5,13
How can I make my card show up in the app?,how can i make my card show up in the app,5,13
"I would like to re-activate my card, it was previously reported  lost but I found it this morning.",i would like to re activate my card it was previously reported lost but i found it this morning,5,13
"Okay, I found my card, can I put it back in the app?",okay i found my card can i put it back in the app,5,13
Can I reactivate a card?,can i reactivate a card,5,13
I would like to reactivate a card and wondered if that could be done?,i would like to reactivate a card and wondered if that could be done,5,13
"I got my card now, how do I make it show up in the app?",i got my card now how do i make it show up in the app,5,13
How do I link an existing card?,how do i link an existing card,5,13
How do I link a new card in the app?,how do i link a new card in the app,5,13
"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?",the card i thought was lost was just in my jacket so can i reactivate it since i found it this morning,5,13
I already have a card and want to link it,i already have a card and want to link it,5,13
Can you please reactivate my card?,can you please reactivate my card,5,13
Where do I go to add a new card?,where do i go to add a new card,5,13
I want my card I just received to show up in the app. How do I do that?,i want my card i just received to show up in the app how do i do that,5,13
"I received my card, how do I get it to show in the app?",i received my card how do i get it to show in the app,5,13
If I have a credit card with you how I get set up to link to it?,if i have a credit card with you how i get set up to link to it,5,13
How do I add my new card?,how do i add my new card,5,13
"I want to reactivate my card, I thought I had lost it but found it again this morning.",i want to reactivate my card i thought i had lost it but found it again this morning,5,13
"I need a card reactivation, I had reported my card lost but I ran across it in my jacket.",i need a card reactivation i had reported my card lost but i ran across it in my jacket,5,13
My card is no longer lost. How do I enter it back into the app?,my card is no longer lost how do i enter it back into the app,5,13
"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",i want to reactivate my card i thought i had lost it but found it again in my jacket,5,13
"May I reactivate my card? I previously reported it lost, but have now found it safe and sound.",may i reactivate my card i previously reported it lost but have now found it safe and sound,5,13
How do I reactivate a card I thought I lost?,how do i reactivate a card i thought i lost,5,13
Help me figure out how to link the new card.,help me figure out how to link the new card,5,13
I found my lost card. Am I still able to use it?,i found my lost card am i still able to use it,5,13
Will I need a new card or can I put my old card back into the app?,will i need a new card or can i put my old card back into the app,5,13
Is there a way to link the card i just got?,is there a way to link the card i just got,5,13
How do I add a new card?,how do i add a new card,5,13
"I want to reactivate my card, I found it after thinking it was lost.",i want to reactivate my card i found it after thinking it was lost,5,13
Can I put my old card back in the app?,can i put my old card back in the app,5,13
"I got a new card, how do I link it?",i got a new card how do i link it,5,13
I found the card I thought I lost this morning. Can I reactivate this card?,i found the card i thought i lost this morning can i reactivate this card,5,13
How do i go about linking a new card?,how do i go about linking a new card,5,13
how do i get the card linked,how do i get the card linked,5,13
"I have one of your cards, but I don't know how to link it.",i have one of your cards but i don't know how to link it,5,13
how do I link an old card?,how do i link an old card,5,13
I received my card. How do I link it to the app?,i received my card how do i link it to the app,5,13
"Now that I have my card, how do I connect it to the app?",now that i have my card how do i connect it to the app,5,13
How do I add the card I just received to show up in the app?,how do i add the card i just received to show up in the app,5,13
"I want to reactivate my card, I thought I had lost it but I found it.",i want to reactivate my card i thought i had lost it but i found it,5,13
What do I need to do to link my new card for my account?,what do i need to do to link my new card for my account,5,13
Can I add a card to back into the app?,can i add a card to back into the app,5,13
I want to link my new card. Can you help?,i want to link my new card can you help,5,13
What is the process to link the new card?,what is the process to link the new card,5,13
"I found my card, am I able to put it back into the app?",i found my card am i able to put it back into the app,5,13
"I have found my lost or stolen card, would I still have to activate the new card that was sent to me through the mail in order to access my account?",i have found my lost or stolen card would i still have to activate the new card that was sent to me through the mail in order to access my account,5,13
Where can I link a new card?,where can i link a new card,5,13
How do I add a card on to the app?,how do i add a card on to the app,5,13
"I found my card in my jacket this morning, so can I reactivate it?",i found my card in my jacket this morning so can i reactivate it,5,13
"I've obtained the card, how do I enable it on the app?",i've obtained the card how do i enable it on the app,5,13
I need to find the card I received in the app.,i need to find the card i received in the app,5,13
How do I get my card on the app?,how do i get my card on the app,5,13
"In the app, how can I make it show the new card that arrived?",in the app how can i make it show the new card that arrived,5,13
How do I link my new card?,how do i link my new card,5,13
Can I activate a card in the app?,can i activate a card in the app,5,13
"I want to link to my card card with you, how?",i want to link to my card card with you how,5,13
I would like to link my card to my account.,i would like to link my card to my account,5,13
"I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card.",i thought i lost my card so i cancelled it but recently i found it in my jacket and i would like to re establish the card,5,13
How can I link the new card?,how can i link the new card,5,13
I got a new card and can't find where to link it.,i got a new card and can't find where to link it,5,13
"Hey, I have my card, how do I get it to show in the app?",hey i have my card how do i get it to show in the app,5,13
Where in the app do I go to make my new card show up?,where in the app do i go to make my new card show up,5,13
Where do I scan my card?,where do i scan my card,5,13
Can I reactivate my card? I reported it lost and found it this morning in my jacket.,can i reactivate my card i reported it lost and found it this morning in my jacket,5,13
Can I link my card I previously received?,can i link my card i previously received,5,13
"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.",i want to reactivate my card i thought i had lost it but found it again in my jacket this morning,5,13
"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.",i'd lke my card reactivated i was thinking it was misplaced but i discovered when i woke up that i had left it in my coat,5,13
You sent me a card and now I want to link it.,you sent me a card and now i want to link it,5,13
How do I add my new card to the app?,how do i add my new card to the app,5,13
Can I add a card back to the app?,can i add a card back to the app,5,13
What if I want to add a card I already have to the app?,what if i want to add a card i already have to the app,5,13
"I recently reported my card as missing/lost, and I just found it. Can I still use it?",i recently reported my card as missing lost and i just found it can i still use it,5,13
"Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket.",could i reactivate my card please i couldn't find it but it turns out it was in my jacket pocket,5,13
Is there a way to link cards if I have one of yours?,is there a way to link cards if i have one of yours,5,13
If my card was lost or stolen can I re-link it?,if my card was lost or stolen can i re link it,5,13
How do I link a new card to an existing one?,how do i link a new card to an existing one,5,13
How do I link a new payment card?,how do i link a new payment card,5,13
I would like to reactivate my card that I previously reported lost. I located the card this morning.,i would like to reactivate my card that i previously reported lost i located the card this morning,5,13
"Card has been received, how will it show up on the app?",card has been received how will it show up on the app,5,13
Can I re-link a lost card with the app?,can i re link a lost card with the app,5,13
What do I do to link my new card?,what do i do to link my new card,5,13
Is it possible to link a new card?,is it possible to link a new card,5,13
I deactivated my card but would like to reactivate it.,i deactivated my card but would like to reactivate it,5,13
"I found my card that I thought I had lost, I need to reactive it, please help.",i found my card that i thought i had lost i need to reactive it please help,5,13
can I link a card of yours I already have?,can i link a card of yours i already have,5,13
Can I put my found card back into the app on my phone?,can i put my found card back into the app on my phone,5,13
"My card arrived but I need to make it work in the app, how do I do that?",my card arrived but i need to make it work in the app how do i do that,5,13
"I found the card that I thought I lost, and I would like to reactivate it.",i found the card that i thought i lost and i would like to reactivate it,5,13
I found my card again. Can I put it back into the app?,i found my card again can i put it back into the app,5,13
I need some help linking my new card.,i need some help linking my new card,5,13
help me link my card,help me link my card,5,13
How do I link my card in the app.,how do i link my card in the app,5,13
How do I get my card into the app?,how do i get my card into the app,5,13
I found my card! Can I link it back into the app?,i found my card can i link it back into the app,5,13
How do I reactivate my card?,how do i reactivate my card,5,13
Where do I go to get my new card linked?,where do i go to get my new card linked,5,13
"I thought I lost my card but I found it today, so I would like to reactivate it.",i thought i lost my card but i found it today so i would like to reactivate it,5,13
How do I link the new card that I just got from you guys?,how do i link the new card that i just got from you guys,5,13
How can I add a new card?,how can i add a new card,5,13
Can you tell me how to get my card on the app?,can you tell me how to get my card on the app,5,13
Is it possible to reactivate the card I thought I lost but found this morning in my jacket?,is it possible to reactivate the card i thought i lost but found this morning in my jacket,5,13
How do I make my card appear on the app?,how do i make my card appear on the app,5,13
How do I link the new card?,how do i link the new card,5,13
Where in the app do I link a new card?,where in the app do i link a new card,5,13
How do I add my card to the app once I get it?,how do i add my card to the app once i get it,5,13
Can I link your physical card,can i link your physical card,5,13
How do I activate and link my new card?,how do i activate and link my new card,5,13
"I got a card, how do I get it in the app?",i got a card how do i get it in the app,5,13
I received my new card.  Where is it in the app?,i received my new card where is it in the app,5,13
"I found my card, how can I use it again?",i found my card how can i use it again,5,13
"I just received a new card, where do I go to link it to my account?",i just received a new card where do i go to link it to my account,5,13
"found card, how to put it back in app",found card how to put it back in app,5,13
How do I see my card in the app?,how do i see my card in the app,5,13
"The card I thought I lost was in my jacket pocket this morning, so can I reactivate that?",the card i thought i lost was in my jacket pocket this morning so can i reactivate that,5,13
I don't see my card anywhere in the app.,i don't see my card anywhere in the app,5,13
"I received my card, how do I get it to work in the app?",i received my card how do i get it to work in the app,5,13
What do I do if I already had a card with you guys?,what do i do if i already had a card with you guys,5,13
if i found a lost card can i put it back in app,if i found a lost card can i put it back in app,5,13
I have a card that was deactivated can I reactivate it?,i have a card that was deactivated can i reactivate it,5,13
"My new card isn't in my app, how do I get it in there?",my new card isn't in my app how do i get it in there,5,13
Help me access the card I already got so I can information from it.,help me access the card i already got so i can information from it,5,13
What is my money worth in other countries?,what is my money worth in other countries,26,32
Will my money be of equal value when I travel abroad?,will my money be of equal value when i travel abroad,26,32
Do you know the rate of exchange?,do you know the rate of exchange,26,32
What foreign exchange rate will I get on weekdays and on the weekends?,what foreign exchange rate will i get on weekdays and on the weekends,26,32
What is the exchange looking like?,what is the exchange looking like,26,32
How is the exchange rate doing?,how is the exchange rate doing,26,32
I would like to know how exchange rates are calculated when transferring funds.,i would like to know how exchange rates are calculated when transferring funds,26,32
I would like to know what exchange rates you use?,i would like to know what exchange rates you use,26,32
"If I need to cash foreign transfers, how does that work?",if i need to cash foreign transfers how does that work,26,32
Do you know what your exchange rates are?,do you know what your exchange rates are,26,32
How do I know what exchange rate I will get?,how do i know what exchange rate i will get,26,32
What are you exchange rates?,what are you exchange rates,26,32
Do you have the best exchange rate?,do you have the best exchange rate,26,32
Where can I find your exchange rates?,where can i find your exchange rates,26,32
Your exchange rates come from where?,your exchange rates come from where,26,32
I need to know what your exchange rates are.,i need to know what your exchange rates are,26,32
What's the process for exchanges?,what's the process for exchanges,26,32
What do you think of the exchange rate?,what do you think of the exchange rate,26,32
How are exchange rates calculated at this bank?,how are exchange rates calculated at this bank,26,32
What do you use to figure out the exchange rate for the card?,what do you use to figure out the exchange rate for the card,26,32
What's the foreign exchange rate I will receive?,what's the foreign exchange rate i will receive,26,32
I need to know what foreign exchange rate I can get.,i need to know what foreign exchange rate i can get,26,32
What are the current exchange rates?,what are the current exchange rates,26,32
What exchange rate will I receive?,what exchange rate will i receive,26,32
What is the basis of your exchange rates?,what is the basis of your exchange rates,26,32
How's the exchange rate?,how's the exchange rate,26,32
How do you determine your exchange rates?,how do you determine your exchange rates,26,32
How do the foreign exchange rates work?,how do the foreign exchange rates work,26,32
Where are you getting your exchange rates from?,where are you getting your exchange rates from,26,32
How is the exchange rate calculated?,how is the exchange rate calculated,26,32
I'm interested in what your exchange rates are based on.,i'm interested in what your exchange rates are based on,26,32
How do you decide what the exchange rates are?,how do you decide what the exchange rates are,26,32
What is the current exchange rate?,what is the current exchange rate,26,32
What is the formula for your exchange rate?,what is the formula for your exchange rate,26,32
What method do you use for the exchange rate?,what method do you use for the exchange rate,26,32
What are Interbanks current exchange rates?,what are interbanks current exchange rates,26,32
from where are coming your exchange rates?,from where are coming your exchange rates,26,32
How do you calculate exchange rates?,how do you calculate exchange rates,26,32
Why is your exchange rate different on different days?,why is your exchange rate different on different days,26,32
Where can I find the exchange rate for my transfer?,where can i find the exchange rate for my transfer,26,32
Where can I get your exchange rates from?,where can i get your exchange rates from,26,32
How do you find the exchange rate?,how do you find the exchange rate,26,32
How are exchange rates determined?,how are exchange rates determined,26,32
What value can I get for my currency?,what value can i get for my currency,26,32
Please explain your exchange rate policy.,please explain your exchange rate policy,26,32
What are your exchange rates calculated from?,what are your exchange rates calculated from,26,32
What is an exchange rate?,what is an exchange rate,26,32
What is your opinion on the exchange rate?,what is your opinion on the exchange rate,26,32
What are the exchange rates you assign?,what are the exchange rates you assign,26,32
How do you determine exchange rates?,how do you determine exchange rates,26,32
How are your exchange rates calculated?,how are your exchange rates calculated,26,32
How is an exchange rate calculated?,how is an exchange rate calculated,26,32
"When exchanging, how much are the rates?",when exchanging how much are the rates,26,32
What is the exchange rate for EUR?,what is the exchange rate for eur,26,32
How can I find your exchange rates?,how can i find your exchange rates,26,32
Could you please tell me your exchange rates?,could you please tell me your exchange rates,26,32
Is there an exchange rate?,is there an exchange rate,26,32
How does the exchange rate work?,how does the exchange rate work,26,32
What is the present state of the exchange rate?,what is the present state of the exchange rate,26,32
How are foreign exchange rates determined?,how are foreign exchange rates determined,26,32
How's the exchange rate looking right now?,how's the exchange rate looking right now,26,32
Please explain the exchange rates.,please explain the exchange rates,26,32
What is the foreign exchange rate you will apply?,what is the foreign exchange rate you will apply,26,32
explain the interbank exchange rate,explain the interbank exchange rate,26,32
What will my exchange rate be?,what will my exchange rate be,26,32
how do you get exchange rates,how do you get exchange rates,26,32
What exchange rates do you use?,what exchange rates do you use,26,32
How will I know what the exchange rate is?,how will i know what the exchange rate is,26,32
What factors effect the exchange rate?,what factors effect the exchange rate,26,32
Where does the exchange rate stand right now?,where does the exchange rate stand right now,26,32
I'd like to know what the foreign exchange rate will be.,i'd like to know what the foreign exchange rate will be,26,32
Does the exchange rate change?,does the exchange rate change,26,32
How do your exchange rates factor in?,how do your exchange rates factor in,26,32
Will I know which exchange rate I will get?,will i know which exchange rate i will get,26,32
How do I know what the exchange rate will be when I make an exchange.,how do i know what the exchange rate will be when i make an exchange,26,32
Is the exchange rate the same on weekends as the weekdays?,is the exchange rate the same on weekends as the weekdays,26,32
How do you do exchanges?,how do you do exchanges,26,32
On what do you base your exchange rates?,on what do you base your exchange rates,26,32
How do you come up with your exchange rate,how do you come up with your exchange rate,26,32
What factors determine your exchange rate?,what factors determine your exchange rate,26,32
How are the exchange rates determined?,how are the exchange rates determined,26,32
I would like to know what your exchange rates are.,i would like to know what your exchange rates are,26,32
Is the exchange rate current?,is the exchange rate current,26,32
What are the exchange rates?,what are the exchange rates,26,32
How much are the rates of exchange?,how much are the rates of exchange,26,32
How do you decide what your exchange rates are?,how do you decide what your exchange rates are,26,32
Your exchange rates are coming from where?,your exchange rates are coming from where,26,32
Is there a specific source that the exchange rate for the transfer I'm planning on making is pulled from?,is there a specific source that the exchange rate for the transfer i'm planning on making is pulled from,26,32
How are the exchange rates for transfers calculated?,how are the exchange rates for transfers calculated,26,32
How do I know how much money I will have when I travel abroad?,how do i know how much money i will have when i travel abroad,26,32
How do you do currency exchanges?,how do you do currency exchanges,26,32
Can you explain your exchange rates basis?,can you explain your exchange rates basis,26,32
How did you guys get your exchange rate?,how did you guys get your exchange rate,26,32
Can you tell me your exchange rates?,can you tell me your exchange rates,26,32
Could you tell me what your exchange rates are?,could you tell me what your exchange rates are,26,32
Does this app have the same exchange rate as third parties?,does this app have the same exchange rate as third parties,26,32
what are your exchange rates at?,what are your exchange rates at,26,32
How is the current exchange rate?,how is the current exchange rate,26,32
What is the system for determining the exchange rate?,what is the system for determining the exchange rate,26,32
I am travelling and I was wondering what your exchange rates are,i am travelling and i was wondering what your exchange rates are,26,32
How can I tell what foreign exchange rate I will get?,how can i tell what foreign exchange rate i will get,26,32
Tell me your opinion on the exchange rate.,tell me your opinion on the exchange rate,26,32
I'd like to know what you guys look at to decide an exchange rate,i'd like to know what you guys look at to decide an exchange rate,26,32
How does the exchange rate work on this app?,how does the exchange rate work on this app,26,32
where do you find your exchange rates?,where do you find your exchange rates,26,32
I want to know your exchange rates.,i want to know your exchange rates,26,32
What exchange rate is it?,what exchange rate is it,26,32
What is the source of your exchange rates?,what is the source of your exchange rates,26,32
i need to know about exchange rates,i need to know about exchange rates,26,32
Where do you get those exchange rates?,where do you get those exchange rates,26,32
How do you determine the exchange rate?,how do you determine the exchange rate,26,32
What foreign exchange rate will I get?,what foreign exchange rate will i get,26,32
